X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1FOSFORO,ME1FOSFORO,MI1FOSFORO,MA1FOSFORO,SD1FOSFORO,LATITUDE,LONGITUDE
-38.0313,-7.069079999769215,1436,Mãe d'Água,PB,SUDEMA,Aç. Mãe d'Água,2,2,0.135,0.07,0.2,0.092,-7.06908,-38.0313
-39.29515,-6.368759999791702,1437,MAL02,CE,COGERH,Informação não disponível,2,4,0.312,0.274,0.394,0.055,-6.36876,-39.29515
-40.066,-6.789119999778215,1438,MAM01,CE,COGERH,Mamoeiro,1,3,0.056,0.03,0.104,0.042,-6.78912,-40.066
-40.20011,-20.204969999387778,1439,MAN1C001,ES,IEMA,Rio Manguinhos,1,4,1,0,2,0.816,-20.20497,-40.20011
-40.35851,-20.354439999384034,1440,MAR1C010,ES,IEMA,Rio Marinho,1,4,1.5,0,2,1,-20.35444,-40.35851
-40.35424,-20.338959999384393,1441,MAR1C020,ES,IEMA,Rio Marinho,1,4,1.75,1,2,0.5,-20.33896,-40.35424
-45.55438,-23.7944199993028,1442,MARE02900,SP,CETESB,Rio Maresias,1,6,0.044,0.022,0.078,0.025,-23.79442,-45.55438
-50.0447,-20.173299999388551,1443,MARI04250,SP,CETESB,Ribeirão do Marinheiro,1,6,0.468,0.15,1.03,0.345,-20.1733,-50.0447
-46.1606,-23.585599999307451,1444,MARO21800,SP,CETESB,Rio Santo Amaro,1,6,0.9,0.56,1.4,0.31,-23.5856,-46.1606
-40.01222,-17.982499999445317,1445,MCRMCR200,BA,INEMA,Mucuri,1,3,0.02,0.02,0.02,0,-17.9825,-40.01222
-39.89322,-18.099109999442181,1446,MCRMCR400,BA,INGÁ,Mucuri,1,3,0.047,0.02,0.1,0.046,-18.09911,-39.89322
-47.2703,-22.097199999341676,1447,MEIO02900,SP,CETESB,Ribeirão do Meio,1,6,0.92,0.02,2,0.647,-22.0972,-47.2703
